Catalog or Tool	Version	Call tool?	Use Library?	Modify Code or Src?	License	License URL	URL	Notes
VEP	2.7	X	-	-	Modified Apache	http://useast.ensembl.org/info/about/legal/code_licence.html	https://github.com/ensembl-variation/VEP_plugins	
SnpEff (tool)	?	X	-	-	LGPL v3	http://snpeff.sourceforge.net/SnpEff_manual.html#install		
SnpEff (jar only)	3.1	X	-	-	LGPL v3	http://snpeff.sourceforge.net/SnpEff_manual.html#install		
dbSNP	137				(ok)		http://www.ncbi.nlm.nih.gov/projects/SNP/	
HGMD  (commercial license!)								Release publisher???
1000 Genomes	5/21/2011	-	-	-	??		http://www.1000genomes.org/	
BGI	hg19	-	-	-	??			
Cosmic	v63	-	-	-	??			
ESP	build37	-	-	-	??			
Hapmap	2010-08_phaseII+III	-	-	-	??			
HGNC	2012_08_12	-	-	-	??			
Mirbase	release19_GRCh37.p5	-	-	-	??			
NCBIGene	GRCh37_p10	-	-	-	??			
Omim	2013_02_27	-	-	-	??			
Ucsc	hg19	-	-	-	??			
KEGG (pathways) - (now commercial license!)	2013_07_11	-	-	-	??			
Drugbank (pharmacogenetics)  -- (user catalog)		-	-	-	??	http://www.drugbank.ca/about		DrugBank is offered to the public as a freely available resource. Use and re-distribution of the data, in whole or in part, for commercial purposes requires explicit permission of the authors and explicit acknowledgment of the source material (DrugBank) and the original publication (see below). We ask that users who download significant portions of the database cite the DrugBank paper in any resulting publications. 
PharmGKB  (pharmacogenetics) -- (user catalog)	2013_07_03				??			Unavailible for maintanance
exome_overlap -- (user catalog)								
ExomeVariantServer -- (user catalog)								
								
SAM tools (Tabix)	1.5.6	X	X	X	BSD License, MIT License	http://sourceforge.net/projects/samtools/		Small modifications for exception handling - could pull out if needed
GATK  (pick-worst post-processing)	2.2				GATK License (from Broad) - may need to go back to v1.6	http://gatkforums.broadinstitute.org/discussion/2091/upcoming-changes-to-the-license-the-retirement-of-gatk-lite-by-v-2-4		"GATK MIT Open vs Broad Restricted
OK, we don't use this code"
								
JARS:								
alignment-1.8.2.jar	1.8.2	-	X	-	LGPL	http://biojava.org/wiki/BioJava:License		BioJava
bytecode-1.8.2.jar  (BioJava)	1.8.2	-	X	-	LGPL	http://biojava.org/wiki/BioJava:License		BioJava
cloning-1.9.0.jar	1.9	-	X	No	Apache	https://code.google.com/p/cloning/		
commons-cli-1.2.jar	1.2	-	yes	-	Apache 2.0	http://www.apache.org/licenses/	http://commons.apache.org/proper/commons-cli/index.html	
commons-compress-1.4.1.jar	1.4.1	-	yes	-	Apache 2.0	http://www.apache.org/licenses/	http://commons.apache.org/proper/commons-compress/index.html	
commons-dbcp-1.2.2.jar	1.2.2	-	yes	-	Apache 2.0	http://www.apache.org/licenses/	http://commons.apache.org/proper/commons-dbcp/index.html	
